Time [s],CH0 [V]
8.960000e+00,2.000000000000,
8.960040e+00,2.000000000000,
8.960080e+00,1.920000000000,
8.960120e+00,2.080000000000,
8.960160e+00,2.080000000000,
8.960200e+00,2.000000000000,
8.960240e+00,1.920000000000,
8.960280e+00,2.000000000000,
8.960320e+00,2.000000000000,
8.960360e+00,1.920000000000,
8.960400e+00,2.000000000000,
8.960440e+00,2.000000000000,
8.960480e+00,2.000000000000,
8.960520e+00,2.080000000000,
8.960560e+00,2.000000000000,
8.960600e+00,2.000000000000,
8.960640e+00,1.920000000000,
8.960680e+00,2.080000000000,
8.960720e+00,1.920000000000,
8.960760e+00,2.000000000000,
8.960800e+00,2.000000000000,
8.960840e+00,2.000000000000,
8.960880e+00,2.000000000000,
8.960920e+00,2.080000000000,
8.960960e+00,2.080000000000,
8.961000e+00,2.000000000000,
8.961040e+00,2.000000000000,
8.961080e+00,2.080000000000,
8.961120e+00,2.080000000000,
8.961160e+00,2.080000000000,
8.961200e+00,1.920000000000,
8.961240e+00,2.000000000000,
8.961280e+00,2.000000000000,
8.961320e+00,2.080000000000,
8.961360e+00,2.000000000000,
8.961400e+00,2.080000000000,
8.961440e+00,2.080000000000,
8.961480e+00,2.080000000000,
8.961520e+00,2.080000000000,
8.961560e+00,2.080000000000,
8.961600e+00,1.920000000000,
8.961640e+00,2.000000000000,
8.961680e+00,2.000000000000,
8.961720e+00,2.080000000000,
8.961760e+00,1.920000000000,
8.961800e+00,2.080000000000,
8.961840e+00,2.000000000000,
8.961880e+00,2.000000000000,
8.961920e+00,2.080000000000,
8.961960e+00,2.080000000000,
8.962000e+00,1.920000000000,
8.962040e+00,2.080000000000,
8.962080e+00,2.000000000000,
8.962120e+00,1.920000000000,
8.962160e+00,2.080000000000,
8.962200e+00,2.080000000000,
8.962240e+00,2.000000000000,
8.962280e+00,2.000000000000,
8.962320e+00,2.080000000000,
8.962360e+00,2.000000000000,
8.962400e+00,2.000000000000,
8.962440e+00,2.000000000000,
8.962480e+00,2.000000000000,
8.962520e+00,2.080000000000,
8.962560e+00,2.000000000000,
8.962600e+00,1.920000000000,
8.962640e+00,2.000000000000,
8.962680e+00,2.000000000000,
8.962720e+00,2.080000000000,
8.962760e+00,2.000000000000,
8.962800e+00,1.920000000000,
8.962840e+00,2.080000000000,
8.962880e+00,2.080000000000,
8.962920e+00,2.000000000000,
8.962960e+00,2.000000000000,
8.963000e+00,2.080000000000,
8.963040e+00,2.000000000000,
8.963080e+00,2.000000000000,
8.963120e+00,2.000000000000,
8.963160e+00,2.080000000000,
8.963200e+00,2.000000000000,
8.963240e+00,2.000000000000,
8.963280e+00,2.000000000000,
8.963320e+00,2.000000000000,
8.963360e+00,2.080000000000,
8.963400e+00,2.000000000000,
8.963440e+00,2.000000000000,
8.963480e+00,2.080000000000,
8.963520e+00,2.080000000000,
8.963560e+00,2.080000000000,
8.963600e+00,2.000000000000,
8.963640e+00,2.000000000000,
8.963680e+00,2.000000000000,
8.963720e+00,2.080000000000,
8.963760e+00,2.000000000000,
8.963800e+00,2.000000000000,
8.963840e+00,2.080000000000,
8.963880e+00,2.080000000000,
8.963920e+00,2.000000000000,
8.963960e+00,2.080000000000,
8.964000e+00,2.080000000000,
8.964040e+00,1.920000000000,
8.964080e+00,2.080000000000,
8.964120e+00,2.000000000000,
8.964160e+00,1.920000000000,
8.964200e+00,2.080000000000,
8.964240e+00,2.080000000000,
8.964280e+00,2.000000000000,
8.964320e+00,2.000000000000,
8.964360e+00,2.000000000000,
8.964400e+00,2.000000000000,
8.964440e+00,1.920000000000,
8.964480e+00,2.000000000000,
8.964520e+00,2.000000000000,
8.964560e+00,2.080000000000,
8.964600e+00,2.080000000000,
8.964640e+00,1.920000000000,
8.964680e+00,2.000000000000,
8.964720e+00,2.000000000000,
8.964760e+00,2.000000000000,
8.964800e+00,2.000000000000,
8.964840e+00,2.000000000000,
8.964880e+00,2.000000000000,
8.964920e+00,2.080000000000,
8.964960e+00,2.000000000000,
8.965000e+00,2.000000000000,
8.965040e+00,2.080000000000,
8.965080e+00,2.000000000000,
8.965120e+00,1.920000000000,
8.965160e+00,2.080000000000,
8.965200e+00,2.080000000000,
8.965240e+00,2.080000000000,
8.965280e+00,1.920000000000,
8.965320e+00,2.000000000000,
8.965360e+00,2.000000000000,
8.965400e+00,2.000000000000,
8.965440e+00,2.080000000000,
8.965480e+00,2.000000000000,
8.965520e+00,2.080000000000,
8.965560e+00,2.080000000000,
8.965600e+00,2.080000000000,
8.965640e+00,2.000000000000,
8.965680e+00,2.000000000000,
8.965720e+00,2.080000000000,
